ftNs_AbsorbThink_DecideAction | fuzzy_match  | 100.00% ->  98.65%
ftNs_SpecialLwEnd_Coll | fuzzy_match  | 100.00% ->  96.00%
ftNs_SpecialAirLwEnd_Coll | fuzzy_match  | 100.00% ->  96.00%
ftPe_8011BA54 | fuzzy_match  | 100.00% ->  96.36%
ftPe_8011BAD8 | fuzzy_match  | 100.00% ->  96.76%
ftPe_8011BB6C | fuzzy_match  | 100.00% ->  97.65%
ftPe_UpdateFloatDir | fuzzy_match  | 100.00% ->  91.03%
doAirEnd0 | fuzzy_match  | 100.00% ->  98.75%
ftPe_SpecialAirSStart_Coll | fuzzy_match  | 100.00% ->  98.67%
ftPe_SpecialAirSJump_Coll | fuzzy_match  | 100.00% ->  98.54%
ftPe_SpecialSEnd_Coll | fuzzy_match  | 100.00% ->  96.00%
ftPe_SpecialAirSEnd_Coll | fuzzy_match  | 100.00% ->  96.00%
pickVeg | fuzzy_match  | 100.00% ->  99.24%
ftPe_SpecialHi_8011D424 | fuzzy_match  | 100.00% ->  97.05%
ftPe_SpecialHi_Enter | fuzzy_match  | 100.00% ->  96.33%
ftPe_SpecialAirHi_Enter | fuzzy_match  | 100.00% ->  96.79%
ftPe_SpecialHiStart_Anim | fuzzy_match  | 100.00% ->  93.95%
ftPe_SpecialAirHiStart_Anim | fuzzy_match  | 100.00% ->  93.95%
ftPe_SpecialHiStart_Phys | fuzzy_match  | 100.00% ->  91.43%
ftPe_SpecialHiStart_Coll | fuzzy_match  | 100.00% ->  95.71%
ftPe_SpecialAirHiStart_Coll | fuzzy_match  | 100.00% ->  95.71%
ftPe_SpecialHiEnd_Phys | fuzzy_match  | 100.00% ->  95.56%
ftPe_SpecialHiEnd_Coll | fuzzy_match  | 100.00% ->  95.71%
ftPe_SpecialAirHiEnd_Coll | fuzzy_match  | 100.00% ->  95.71%
ftPe_SpecialAirN_Coll | fuzzy_match  | 100.00% ->  96.00%
ftPe_SpecialAirNHit_Coll | fuzzy_match  | 100.00% ->  96.00%
onUnkHit | fuzzy_match  | 100.00% ->  97.65%
ftPp_SpecialN_Coll | fuzzy_match  | 100.00% ->  98.06%
ftPp_SpecialAirN_Coll | fuzzy_match  | 100.00% ->  98.60%
ftPp_SpecialN_8011F500 | fuzzy_match  | 100.00% ->  98.79%
ftPp_SpecialS_Enter | fuzzy_match  | 100.00% ->  99.34%
ftPp_SpecialAirS_Enter | fuzzy_match  | 100.00% ->  99.35%
ftPk_SpecialN_Anim | fuzzy_match  | 100.00% ->  98.43%
ftPk_SpecialAirN_Anim | fuzzy_match  | 100.00% ->  98.67%
ftPk_SpecialN_Coll | fuzzy_match  | 100.00% ->  97.78%
ftPk_SpecialAirN_Coll | fuzzy_match  | 100.00% ->  94.29%
ftPk_SpecialN_SpawnEffect0 | fuzzy_match  | 100.00% ->  93.33%
ftPk_SpecialN_SpawnEffect1 | fuzzy_match  | 100.00% ->  93.33%
ftPk_SpecialSStart_Coll | fuzzy_match  | 100.00% ->  96.00%
ftPk_SpecialAirSStart_Coll | fuzzy_match  | 100.00% ->  96.00%
ftPk_SpecialSHold_Coll | fuzzy_match  | 100.00% ->  96.00%
ftPk_SpecialAirSHold_Coll | fuzzy_match  | 100.00% ->  96.00%
ftPk_SpecialS0_Anim | fuzzy_match  | 100.00% ->  93.35%
ftPk_SpecialAirS0_Anim | fuzzy_match  | 100.00% ->  93.00%
ftPk_SpecialS0_Coll | fuzzy_match  | 100.00% ->  96.00%
ftPk_SpecialAirS0_Coll | fuzzy_match  | 100.00% ->  96.00%
ftPk_SpecialAirS1_Coll | fuzzy_match  | 100.00% ->  98.06%
ftPk_SpecialSEnd_Coll | fuzzy_match  | 100.00% ->  96.00%
ftPk_SpecialAirSEnd_Coll | fuzzy_match  | 100.00% ->  97.00%
ftPk_SpecialHiStart0_Coll | fuzzy_match  | 100.00% ->  96.00%
ftPk_SpecialHiStart1_Anim | fuzzy_match  | 100.00% ->  96.09%
ftPk_SpecialAirHiStart1_Anim | fuzzy_match  | 100.00% ->  96.09%
ftPk_SpecialHi_8012642C | fuzzy_match  | 100.00% ->  98.87%
ftPk_SpecialHiStart1_Coll | fuzzy_match  | 100.00% ->  98.90%
ftPk_SpecialHi_ChangeMotion_Unk03 | fuzzy_match  | 100.00% ->  98.67%
ftSs_Init_80128B1C | fuzzy_match  | 100.00% ->  97.93%
ftSs_SpecialAirLw_Coll | fuzzy_match  | 100.00% ->  97.93%
ftSs_SpecialN_801293BC | fuzzy_match  | 100.00% ->  98.80%
ftSs_SpecialNStart_Coll | fuzzy_match  | 100.00% ->  98.12%
ftSs_SpecialNHold_Coll | fuzzy_match  | 100.00% ->  98.50%
ftSs_SpecialNCancel_Coll | fuzzy_match  | 100.00% ->  98.12%
ftSs_SpecialN_Coll | fuzzy_match  | 100.00% ->  98.12%
ftSs_SpecialAirNStart_Coll | fuzzy_match  | 100.00% ->  95.00%
ftSs_SpecialAirN_Coll | fuzzy_match  | 100.00% ->  95.00%
ftSs_SpecialAirS_Coll | fuzzy_match  | 100.00% ->  96.00%
ftSs_SpecialSSmash_Coll | fuzzy_match  | 100.00% ->  96.00%
ftSs_SpecialAirSSmash_Coll | fuzzy_match  | 100.00% ->  96.00%
ftSs_SpecialHi_Phys | fuzzy_match  | 100.00% ->  97.14%
ftSs_SpecialHi_Coll | fuzzy_match  | 100.00% ->  95.71%
ftSs_SpecialAirHi_Coll | fuzzy_match  | 100.00% ->  95.71%
ftSs_SpecialLw_8012AEBC | fuzzy_match  | 100.00% ->  95.87%
ftSs_SpecialLwBomb_Anim | fuzzy_match  | 100.00% ->  98.14%
ftSs_SpecialAirLwBomb_Anim | fuzzy_match  | 100.00% ->  97.75%
