ftCo_80090594 | fuzzy_match  |  91.83% ->  97.06%
ftCo_80097AF4 | fuzzy_match  |  72.50% ->  73.40%
ftCo_80097F38 | fuzzy_match  |  94.24% ->  97.94%
fn_8016CA68 | fuzzy_match  |  96.40% ->  99.38%
it_80271F78 | fuzzy_match  |  88.20% ->  88.26%
it_802A5320 | fuzzy_match  |  94.42% ->  95.45%
Total | fuzzy_match  |  49.09% ->  48.79%
Total | matched_code |  40.78% ->  31.87%
Total | matched_data |  16.57% ->  16.47%
lbColl_80007ECC | fuzzy_match  | 100.00% ->  98.80%
lbColl_8000805C | fuzzy_match  | 100.00% ->  99.02%
lbColl_80008428 | fuzzy_match  | 100.00% ->  80.00%
lbColl_80008434 | fuzzy_match  | 100.00% ->  80.00%
lbColl_80008A5C | fuzzy_match  | 100.00% ->  99.34%
lbColl_80008D30 | fuzzy_match  | 100.00% ->  95.86%
lbColl_80009F54 | fuzzy_match  | 100.00% ->  98.00%
lbColl_8000A044 | fuzzy_match  | 100.00% ->  97.60%
lbColl_8000A244 | fuzzy_match  |  99.88% ->  98.99%
lbColl_8000A584 | fuzzy_match  |  99.70% ->  98.78%
lbDObjSetRateAll | fuzzy_match  | 100.00% ->  99.98%
lbDObjReqAnimAll | fuzzy_match  | 100.00% ->  99.98%
lbGetFreeColorRegImpl | fuzzy_match  | 100.00% ->  99.02%
lbGetFreeAlphaRegImpl | fuzzy_match  | 100.00% ->  98.54%
lb_800121FC | fuzzy_match  | 100.00% ->  97.47%
lb_8001285C | fuzzy_match  | 100.00% ->  99.23%
lbAudioAx_80026E84 | fuzzy_match  | 100.00% ->  82.50%
Camera_8002B1F8 | fuzzy_match  | 100.00% ->  94.18%
Player_GetPtrForSlot | fuzzy_match  | 100.00% ->  99.96%
Player_80031790 | fuzzy_match  | 100.00% ->  96.02%
Player_80031848 | fuzzy_match  | 100.00% ->  96.02%
Player_80031900 | fuzzy_match  | 100.00% ->  96.27%
Player_800319C4 | fuzzy_match  | 100.00% ->  99.87%
Player_80031AD0 | fuzzy_match  | 100.00% ->  98.45%
Player_80031DC8 | fuzzy_match  | 100.00% ->  96.05%
Player_80031EBC | fuzzy_match  | 100.00% ->  99.90%
Player_80031FB0 | fuzzy_match  | 100.00% ->  99.92%
Player_80032070 | fuzzy_match  | 100.00% ->  99.04%
Player_8003219C | fuzzy_match  | 100.00% ->  99.91%
Player_8003221C | fuzzy_match  | 100.00% ->  99.93%
Player_GetPlayerState | fuzzy_match  | 100.00% ->  99.96%
Player_GetPlayerCharacter | fuzzy_match  | 100.00% ->  97.82%
Player_SetPlayerCharacter | fuzzy_match  | 100.00% ->  98.03%
Player_GetPlayerSlotType | fuzzy_match  | 100.00% ->  97.82%
Player_8003248C | fuzzy_match  | 100.00% ->  93.73%
Player_SetSlottype | fuzzy_match  | 100.00% ->  98.03%
Player_80032610 | fuzzy_match  | 100.00% ->  97.43%
Player_LoadPlayerCoords | fuzzy_match  | 100.00% ->  99.87%
Player_80032768 | fuzzy_match  | 100.00% ->  99.81%
Player_80032828 | fuzzy_match  | 100.00% ->  99.88%
Player_800328D4 | fuzzy_match  | 100.00% ->  99.86%
Player_80032A04 | fuzzy_match  | 100.00% ->  99.90%
Player_SetPlayerAndEntityFacingDirection | fuzzy_match  | 100.00% ->  99.91%
Player_80032BB0 | fuzzy_match  | 100.00% ->  99.88%
Player_SetScale | fuzzy_match  | 100.00% ->  99.91%
Player_GetSpawnPlatformPos | fuzzy_match  | 100.00% ->  99.89%
Player_SetSpawnPlatformPos | fuzzy_match  | 100.00% ->  99.89%
Player_GetSomePos | fuzzy_match  | 100.00% ->  99.89%
Player_SetSomePos | fuzzy_match  | 100.00% ->  99.89%
Player_80032F30 | fuzzy_match  | 100.00% ->  99.93%
Player_80032FA4 | fuzzy_match  | 100.00% ->  99.94%
Player_GetFacingDirection | fuzzy_match  | 100.00% ->  99.93%
Player_SetFacingDirection | fuzzy_match  | 100.00% ->  99.94%
Player_SetFacingDirectionConditional | fuzzy_match  | 100.00% ->  99.94%
Player_GetCostumeId | fuzzy_match  | 100.00% ->  99.93%
Player_SetCostumeId | fuzzy_match  | 100.00% ->  99.94%
Player_GetControllerIndex | fuzzy_match  | 100.00% ->  99.93%
